faq_id,scope_type,scope_key,lang,question,answer,order,status,tags,source
g-faq-beratung-de-006,global,faq/beratung,de,Kann ich nur Lieferung ohne Montage beauftragen?,"Ja – dann müssen Schnittstellen (Aufmaß, Untergrundebene, Befestigungsstrategie, Fugen) vorab besonders klar sein.",6,active,,wissen/content/de/faq/beratung/_index.md
g-faq-beratung-de-007,global,faq/beratung,de,Wie geht ihr mit Altbau-Unebenheiten um?,Über definierte Ebenen (Unterkonstruktion/Unterlagen) und eine bewusste Fugen-/Schattenfugenstrategie – abhängig vom Bestand.,7,active,,wissen/content/de/faq/beratung/_index.md
g-faq-beratung-de-008,global,faq/beratung,de,Wie läuft die Beauftragung typischerweise ab?,Orientierung → (optional) Planung/Visualisierung → Angebot → Annahme mit 50 % Anzahlung → Fertigung/Montage.,8,active,,wissen/content/de/faq/beratung/_index.md
g-faq-beratung-de-009,global,faq/beratung,de,Welche Unterlagen beschleunigen alles am meisten?,"Ein einfacher Grundriss, vermaßte Fensterbrüstungen/Türhöhen sowie Fotos mit Maßstab.",9,active,,wissen/content/de/faq/beratung/_index.md
g-faq-beratung-de-010,global,faq/beratung,de,Gibt es typische No-Go’s?,"Aktive Feuchte-/Salzprobleme im Mauerwerk: erst bautechnisch lösen, dann Holzsysteme planen.",10,active,,wissen/content/de/faq/beratung/_index.md
g-faq-beratung-beauftragung-de-001,global,faq/beratung/beauftragung,de,beauftragung,"# Beauftragung

Inhalt folgt.",1,active,,wissen/content/de/faq/beratung/beauftragung.md
g-faq-beratung-glossar-glossar-de-001,global,faq/beratung/glossar/glossar,de,glossar,"# Glossar

Inhalt folgt.",1,active,,wissen/content/de/faq/beratung/glossar/glossar.md
g-faq-beratung-herstellung-de-001,global,faq/beratung/herstellung,de,herstellung,"# Herstellung

Inhalt folgt.",1,active,,wissen/content/de/faq/beratung/herstellung.md
g-faq-beratung-katalog-und-download-de-001,global,faq/beratung/katalog-und-download,de,_index,"# Katalog Und Download

Inhalt folgt.",1,active,,wissen/content/de/faq/beratung/katalog-und-download/_index.md
g-faq-beratung-katalog-und-download-katalog-de-001,global,faq/beratung/katalog-und-download/katalog,de,katalog,"# Katalog

Inhalt folgt.",1,active,,wissen/content/de/faq/beratung/katalog-und-download/katalog.md
g-faq-beratung-lieferung-de-001,global,faq/beratung/lieferung,de,lieferung,"# Lieferung

Inhalt folgt.",1,active,,wissen/content/de/faq/beratung/lieferung.md
g-faq-beratung-montage-de-001,global,faq/beratung/montage,de,montage,"# Montage

Inhalt folgt.

## Montage-Anleitung

[PDF herunterladen](/assets/faq/beratung/montage/Montage-Anleitung.pdf)",1,active,,wissen/content/de/faq/beratung/montage.md
g-faq-beratung-planung-de-001,global,faq/beratung/planung,de,planung,"# Planung

Inhalt folgt.",1,active,,wissen/content/de/faq/beratung/planung.md
g-faq-consulting-en-001,global,faq/consulting,en,_index,"# Consulting

Content forthcoming.",1,active,,wissen/content/en/faq/consulting/_index.md
g-faq-consulting-catalogue-and-download-en-001,global,faq/consulting/catalogue-and-download,en,_index,"# Catalogue And Download

Content forthcoming.",1,active,,wissen/content/en/faq/consulting/catalogue-and-download/_index.md
g-faq-consulting-catalogue-and-download-catalogue-en-001,global,faq/consulting/catalogue-and-download/catalogue,en,catalogue,"# Catalogue

Content forthcoming.",1,active,,wissen/content/en/faq/consulting/catalogue-and-download/catalogue.md
g-faq-consulting-delivery-en-001,global,faq/consulting/delivery,en,delivery,"# Delivery

Content forthcoming.",1,active,,wissen/content/en/faq/consulting/delivery.md
g-faq-consulting-glossary-glossary-en-001,global,faq/consulting/glossary/glossary,en,glossary,"# Glossary

Content forthcoming.",1,active,,wissen/content/en/faq/consulting/glossary/glossary.md
g-faq-consulting-installation-en-001,global,faq/consulting/installation,en,installation,"# Installation

Content forthcoming.",1,active,,wissen/content/en/faq/consulting/installation.md
g-faq-consulting-ordering-en-001,global,faq/consulting/ordering,en,ordering,"# Ordering

Content forthcoming.",1,active,,wissen/content/en/faq/consulting/ordering.md
g-faq-consulting-planning-en-001,global,faq/consulting/planning,en,planning,"# Planning

Content forthcoming.",1,active,,wissen/content/en/faq/consulting/planning.md
g-faq-consulting-production-en-001,global,faq/consulting/production,en,production,"# Production

Content forthcoming.",1,active,,wissen/content/en/faq/consulting/production.md
g-faq-restaurierung-de-001,global,faq/restaurierung,de,_index,"# restaurierung reproduktion vertaefelungen holzleisten

## Was bedeutet Restaurierung und Reproduktion im Kontext historischer Vertäfelungen und Leisten?
- Restaurierung umfasst die behutsame Instandsetzung, Sicherung und Ergänzung originaler Bauteile.
- Ziel ist die Wahrung des historischen Bestands.
- Reproduktion bedeutet die originalgetreue Neuanfertigung nach historischen Vorlagen.
- Fehlende oder zerstörte Elemente werden ersetzt.

Restaurierung zielt auf die behutsame Instandsetzung unter Wahrung des historischen Bestands, Reproduktion auf die originalgetreue Neuanfertigung nach Vorlagen.

## Wie läuft die Restaurierung typischerweise ab?
- **Bestandsaufnahme:** Sorgfältige Dokumentation von Maßen, Profilen, Holzarten und Schäden (Fotos, Zeichnungen, Profilmuster).
- **Materialanalyse:** Auswahl geeigneter Holzarten und Vergleich mit Originalbestand.
- **Reparatur und Ergänzung:** Fehlstellen ausbessern, Ergänzungsstücke nachfertigen, profilgenau einpassen.
- **Oberflächenbehandlung:** Reinigung, Entschichtung, Nachölen, Wachsen oder Lackieren je nach historischem Vorbild.
- **Schadensvorbeugung:** Schutz vor Feuchte, Schädlingen, unsachgemäßer Nutzung.

Der Ablauf orientiert sich an Dokumentation, Materialwahl, Reparatur und historisch passenden Oberflächenbehandlungen.

## Was sind typische Herausforderungen bei der Reproduktion?
- Beschaffung passender, artgleicher Hölzer (z. B. langsam gewachsene Kiefer, Eiche).
- Exakte Nachbildung historischer Profile und Verbindungen.
- Abstimmung mit Denkmalpflege und Dokumentationspflicht.
- Anpassung an Wandunregelmäßigkeiten und Setzungen im Altbau.
- Handwerkliches Können: Verwendung historischer Werkzeuge und Techniken.

Die Reproduktion erfordert passendes Material, genaue Profilübernahme und handwerkliche Ausführung nach historischen Techniken.

## Was ist bei der Montage von Reproduktionen zu beachten?
- Reversible Befestigung und möglichst zerstörungsfreier Einbau.
- Passgenaues Einfügen ohne Druck auf originale Bausubstanz.
- Ggf. Kombination von Alt- und Neuteilen sorgfältig kennzeichnen.

Die Montage sollte den Bestand schützen und neue sowie alte Teile nachvollziehbar trennen.

## Welche Materialien und Oberflächen werden bevorzugt?
- Massivholz möglichst gleicher Art und Güte wie das Original.
- Traditionelle Oberflächenbehandlung: Ölen, Wachsen, Schellack, gelegentlich Lasuren oder Leinölfarbe.
- Keine modernen Kunststofflacke oder unsachgemäße Beschichtungen.

Bevorzugt werden Materialien und Oberflächen, die dem historischen Vorbild entsprechen.

## Wie wird die Authentizität der Reproduktion gesichert?
- Exakte Maß- und Profilübernahme, Nachweis über Dokumentation und Material.
- Abstimmung mit Denkmalbehörden und ggf. Architekten.
- Jedes Teil möglichst individuell beschriften (Inventar, Nummerierung).

Die Authentizität wird durch Dokumentation, Abstimmung und klare Kennzeichnung gesichert.

*Fragen zur Restaurierung oder Reproduktion? Wir beraten zu Machbarkeit, Kosten, Materialwahl und Abstimmung mit dem Denkmalschutz!*",1,active,,wissen/content/de/faq/restaurierung/_index.md
g-faq-restoring-en-001,global,faq/restoring,en,_index,"# Index

Content forthcoming.",1,active,,wissen/content/en/faq/restoring/_index.md
g-faq-style-guide-de-001,global,faq/style-guide,de,_index,"# Style Guide

Inhalt folgt.",1,active,,wissen/content/de/faq/style-guide/_index.md
g-faq-style-guide-en-001,global,faq/style-guide,en,_index,"# Style Guide

Content forthcoming.",1,active,,wissen/content/en/faq/style-guide/_index.md
g-faq-style-guide-historisch-de-001,global,faq/style-guide/historisch,de,index,"# Index

Inhalt folgt.",1,active,,wissen/content/de/faq/style-guide/historisch/index.md
g-faq-style-guide-history-en-001,global,faq/style-guide/history,en,index,"# Index

Content forthcoming.",1,active,,wissen/content/en/faq/style-guide/history/index.md
g-faq-style-guide-styles-en-001,global,faq/style-guide/styles,en,_index,"# Styles

Content forthcoming.",1,active,,wissen/content/en/faq/style-guide/styles/_index.md
g-faq-style-guide-styles-balustrades-en-001,global,faq/style-guide/styles/balustrades,en,index,"# Index

Content forthcoming.",1,active,,wissen/content/en/faq/style-guide/styles/balustrades/index.md
g-faq-style-guide-styles-board-and-batten-en-001,global,faq/style-guide/styles/board-and-batten,en,index,"# Index

Content forthcoming.",1,active,,wissen/content/en/faq/style-guide/styles/board-and-batten/index.md
g-faq-style-guide-styles-fassades-en-001,global,faq/style-guide/styles/fassades,en,index,"# Index

Content forthcoming.",1,active,,wissen/content/en/faq/style-guide/styles/fassades/index.md
g-faq-style-guide-styles-raised-panels-en-001,global,faq/style-guide/styles/raised-panels,en,index,"# Index

Content forthcoming.",1,active,,wissen/content/en/faq/style-guide/styles/raised-panels/index.md
g-faq-style-guide-styles-tracery-en-001,global,faq/style-guide/styles/tracery,en,index,"# Index

Content forthcoming.",1,active,,wissen/content/en/faq/style-guide/styles/tracery/index.md
g-faq-style-guide-technik-de-001,global,faq/style-guide/technik,de,index,"# Index

Inhalt folgt.",1,active,,wissen/content/de/faq/style-guide/technik/index.md
g-faq-style-guide-technique-en-001,global,faq/style-guide/technique,en,index,"# Index

Content forthcoming.",1,active,,wissen/content/en/faq/style-guide/technique/index.md
g-faq-style-guide-vertaefelungsarten-de-001,global,faq/style-guide/vertaefelungsarten,de,_index,"# Vertaefelungsarten

Inhalt folgt.",1,active,,wissen/content/de/faq/style-guide/vertaefelungsarten/_index.md
g-faq-style-guide-vertaefelungsarten-balustraden-de-001,global,faq/style-guide/vertaefelungsarten/balustraden,de,index,"# Index

Inhalt folgt.",1,active,,wissen/content/de/faq/style-guide/vertaefelungsarten/balustraden/index.md
g-faq-style-guide-vertaefelungsarten-fassade-de-001,global,faq/style-guide/vertaefelungsarten/fassade,de,index,"# Index

Inhalt folgt.",1,active,,wissen/content/de/faq/style-guide/vertaefelungsarten/fassade/index.md
g-faq-style-guide-vertaefelungsarten-kassetten-de-001,global,faq/style-guide/vertaefelungsarten/kassetten,de,index,"# Index

Inhalt folgt.",1,active,,wissen/content/de/faq/style-guide/vertaefelungsarten/kassetten/index.md
g-faq-style-guide-vertaefelungsarten-mawerk-de-001,global,faq/style-guide/vertaefelungsarten/maßwerk,de,index,"# Index

Inhalt folgt.",1,active,,wissen/content/de/faq/style-guide/vertaefelungsarten/maßwerk/index.md
g-faq-style-guide-vertaefelungsarten-nadelstreif-de-001,global,faq/style-guide/vertaefelungsarten/nadelstreif,de,index,"# Index

Inhalt folgt.",1,active,,wissen/content/de/faq/style-guide/vertaefelungsarten/nadelstreif/index.md
g-faq-ueber-uns-de-001,global,faq/ueber-uns,de,_index,"# Ueber Uns

Inhalt folgt.",1,active,,wissen/content/de/faq/ueber-uns/_index.md
g-faq-ueber-uns-partner-de-001,global,faq/ueber-uns/partner,de,index,"# Index

Inhalt folgt.",1,active,,wissen/content/de/faq/ueber-uns/partner/index.md
g-faq-ueber-uns-team-de-001,global,faq/ueber-uns/team,de,index,"# Index

Inhalt folgt.",1,active,,wissen/content/de/faq/ueber-uns/team/index.md
g-faq-ueber-uns-unsere-idee-de-001,global,faq/ueber-uns/unsere-idee,de,index,"# Index

Inhalt folgt.",1,active,,wissen/content/de/faq/ueber-uns/unsere-idee/index.md
p-112-de-001,product,112,de,Wofür eignet sich dieses Produkt am besten?,"Klassikgrün - BEECK Standölinnenfarbe PRO eignet sich für Innenräume mit klarer Gliederung, wenn eine hochwertige und ruhige Wandgestaltung gewünscht ist.",1,active,authoring-batch,ssot-authoring
p-112-de-002,product,112,de,Welche Punkte sollten vor der Auswahl geprüft werden?,"Wichtig sind Untergrund, Anschlussdetails, Raumproportionen und die Abstimmung mit angrenzenden Bauteilen.",2,active,authoring-batch,ssot-authoring
p-112-de-003,product,112,de,Wie läuft die Planung typischerweise ab?,"Der übliche Ablauf ist Aufmaß, Variantenabgleich, Detailklärung und danach die Freigabe für Fertigung bzw. Montage.",3,active,authoring-batch,ssot-authoring
p-112-de-004,product,112,de,Wodurch wird der Aufwand beeinflusst?,"Aufwand und Kosten hängen von Geometrie, Vorarbeiten, Detailgrad und Zugänglichkeit der Flächen ab.",4,active,authoring-batch,ssot-authoring
p-112-de-005,product,112,de,Wo finde ich passende Planungsinformationen?,Grundlagen zur Vorbereitung finden Sie unter /de/beratung/planung und ergänzende Hinweise unter /de/beratung/montage.,5,active,authoring-batch,ssot-authoring
p-112-en-001,product,112,en,What is this product best suited for?,Oxide Green - BEECK Interior Stand-Oil Paint PRO is suited to interiors that require clear wall articulation and a calm premium finish.,1,active,authoring-batch,ssot-authoring
p-112-en-002,product,112,en,What should be checked before selection?,"Check substrate quality, junction details, room proportions, and coordination with adjacent elements.",2,active,authoring-batch,ssot-authoring
p-112-en-003,product,112,en,What is the typical planning sequence?,"A typical sequence is survey, option alignment, detail clarification, and then sign-off for production or installation.",3,active,authoring-batch,ssot-authoring
p-112-en-004,product,112,en,What drives effort and budget?,"Effort and budget are mainly driven by geometry, preparatory work, detail level, and access conditions.",4,active,authoring-batch,ssot-authoring
p-112-en-005,product,112,en,Where can I find planning guidance?,Planning basics are available at /en/consulting/planning with additional notes at /en/consulting/installation.,5,active,authoring-batch,ssot-authoring
p-113-de-001,product,113,de,Wofür eignet sich dieses Produkt am besten?,"Lindgrün - BEECK Standölinnenfarbe PRO eignet sich für Innenräume mit klarer Gliederung, wenn eine hochwertige und ruhige Wandgestaltung gewünscht ist.",1,active,authoring-batch,ssot-authoring
p-113-de-002,product,113,de,Welche Punkte sollten vor der Auswahl geprüft werden?,"Wichtig sind Untergrund, Anschlussdetails, Raumproportionen und die Abstimmung mit angrenzenden Bauteilen.",2,active,authoring-batch,ssot-authoring
p-113-de-003,product,113,de,Wie läuft die Planung typischerweise ab?,"Der übliche Ablauf ist Aufmaß, Variantenabgleich, Detailklärung und danach die Freigabe für Fertigung bzw. Montage.",3,active,authoring-batch,ssot-authoring
p-113-de-004,product,113,de,Wodurch wird der Aufwand beeinflusst?,"Aufwand und Kosten hängen von Geometrie, Vorarbeiten, Detailgrad und Zugänglichkeit der Flächen ab.",4,active,authoring-batch,ssot-authoring
p-113-de-005,product,113,de,Wo finde ich passende Planungsinformationen?,Grundlagen zur Vorbereitung finden Sie unter /de/beratung/planung und ergänzende Hinweise unter /de/beratung/montage.,5,active,authoring-batch,ssot-authoring
p-113-en-001,product,113,en,What is this product best suited for?,Pastel Green - BEECK Interior Stand-Oil Paint PRO is suited to interiors that require clear wall articulation and a calm premium finish.,1,active,authoring-batch,ssot-authoring
p-113-en-002,product,113,en,What should be checked before selection?,"Check substrate quality, junction details, room proportions, and coordination with adjacent elements.",2,active,authoring-batch,ssot-authoring
p-113-en-003,product,113,en,What is the typical planning sequence?,"A typical sequence is survey, option alignment, detail clarification, and then sign-off for production or installation.",3,active,authoring-batch,ssot-authoring
p-113-en-004,product,113,en,What drives effort and budget?,"Effort and budget are mainly driven by geometry, preparatory work, detail level, and access conditions.",4,active,authoring-batch,ssot-authoring
p-113-en-005,product,113,en,Where can I find planning guidance?,Planning basics are available at /en/consulting/planning with additional notes at /en/consulting/installation.,5,active,authoring-batch,ssot-authoring
p-24-de-001,product,24,de,Wofür eignet sich dieses Produkt am besten?,"P0002 - Hamburger Michel eignet sich für Innenräume mit klarer Gliederung, wenn eine hochwertige und ruhige Wandgestaltung gewünscht ist.",1,active,authoring-batch,ssot-authoring
p-24-de-002,product,24,de,Welche Punkte sollten vor der Auswahl geprüft werden?,"Wichtig sind Untergrund, Anschlussdetails, Raumproportionen und die Abstimmung mit angrenzenden Bauteilen.",2,active,authoring-batch,ssot-authoring
p-24-de-003,product,24,de,Wie läuft die Planung typischerweise ab?,"Der übliche Ablauf ist Aufmaß, Variantenabgleich, Detailklärung und danach die Freigabe für Fertigung bzw. Montage.",3,active,authoring-batch,ssot-authoring
p-24-de-004,product,24,de,Wodurch wird der Aufwand beeinflusst?,"Aufwand und Kosten hängen von Geometrie, Vorarbeiten, Detailgrad und Zugänglichkeit der Flächen ab.",4,active,authoring-batch,ssot-authoring
p-24-de-005,product,24,de,Wo finde ich passende Planungsinformationen?,Grundlagen zur Vorbereitung finden Sie unter /de/beratung/planung und ergänzende Hinweise unter /de/beratung/montage.,5,active,authoring-batch,ssot-authoring
p-24-en-001,product,24,en,What is this product best suited for?,P0002 - Hamburg - Michel is suited to interiors that require clear wall articulation and a calm premium finish.,1,active,authoring-batch,ssot-authoring
p-24-en-002,product,24,en,What should be checked before selection?,"Check substrate quality, junction details, room proportions, and coordination with adjacent elements.",2,active,authoring-batch,ssot-authoring
p-24-en-003,product,24,en,What is the typical planning sequence?,"A typical sequence is survey, option alignment, detail clarification, and then sign-off for production or installation.",3,active,authoring-batch,ssot-authoring
p-24-en-004,product,24,en,What drives effort and budget?,"Effort and budget are mainly driven by geometry, preparatory work, detail level, and access conditions.",4,active,authoring-batch,ssot-authoring
p-24-en-005,product,24,en,Where can I find planning guidance?,Planning basics are available at /en/consulting/planning with additional notes at /en/consulting/installation.,5,active,authoring-batch,ssot-authoring
p-27-de-001,product,27,de,Wofür eignet sich dieses Produkt am besten?,"P0003 - London - V&A - Morris Room eignet sich für Innenräume mit klarer Gliederung, wenn eine hochwertige und ruhige Wandgestaltung gewünscht ist.",1,active,authoring-batch,ssot-authoring
p-27-de-002,product,27,de,Welche Punkte sollten vor der Auswahl geprüft werden?,"Wichtig sind Untergrund, Anschlussdetails, Raumproportionen und die Abstimmung mit angrenzenden Bauteilen.",2,active,authoring-batch,ssot-authoring
p-27-de-003,product,27,de,Wie läuft die Planung typischerweise ab?,"Der übliche Ablauf ist Aufmaß, Variantenabgleich, Detailklärung und danach die Freigabe für Fertigung bzw. Montage.",3,active,authoring-batch,ssot-authoring
p-27-de-004,product,27,de,Wodurch wird der Aufwand beeinflusst?,"Aufwand und Kosten hängen von Geometrie, Vorarbeiten, Detailgrad und Zugänglichkeit der Flächen ab.",4,active,authoring-batch,ssot-authoring
p-27-de-005,product,27,de,Wo finde ich passende Planungsinformationen?,Grundlagen zur Vorbereitung finden Sie unter /de/beratung/planung und ergänzende Hinweise unter /de/beratung/montage.,5,active,authoring-batch,ssot-authoring
p-27-en-001,product,27,en,What is this product best suited for?,P0003 - London - V&A - Morris Room is suited to interiors that require clear wall articulation and a calm premium finish.,1,active,authoring-batch,ssot-authoring
p-27-en-002,product,27,en,What should be checked before selection?,"Check substrate quality, junction details, room proportions, and coordination with adjacent elements.",2,active,authoring-batch,ssot-authoring
p-27-en-003,product,27,en,What is the typical planning sequence?,"A typical sequence is survey, option alignment, detail clarification, and then sign-off for production or installation.",3,active,authoring-batch,ssot-authoring
p-27-en-004,product,27,en,What drives effort and budget?,"Effort and budget are mainly driven by geometry, preparatory work, detail level, and access conditions.",4,active,authoring-batch,ssot-authoring
p-27-en-005,product,27,en,Where can I find planning guidance?,Planning basics are available at /en/consulting/planning with additional notes at /en/consulting/installation.,5,active,authoring-batch,ssot-authoring
p-47-de-001,product,47,de,Wofür eignet sich dieses Produkt am besten?,"P0017 - Hohes Nadelstreif-Paneel mit Shaker Peg Rail eignet sich für Innenräume mit klarer Gliederung, wenn eine hochwertige und ruhige Wandgestaltung gewünscht ist.",1,active,authoring-batch,ssot-authoring
p-47-de-002,product,47,de,Welche Punkte sollten vor der Auswahl geprüft werden?,"Wichtig sind Untergrund, Anschlussdetails, Raumproportionen und die Abstimmung mit angrenzenden Bauteilen.",2,active,authoring-batch,ssot-authoring
p-47-de-003,product,47,de,Wie läuft die Planung typischerweise ab?,"Der übliche Ablauf ist Aufmaß, Variantenabgleich, Detailklärung und danach die Freigabe für Fertigung bzw. Montage.",3,active,authoring-batch,ssot-authoring
p-47-de-004,product,47,de,Wodurch wird der Aufwand beeinflusst?,"Aufwand und Kosten hängen von Geometrie, Vorarbeiten, Detailgrad und Zugänglichkeit der Flächen ab.",4,active,authoring-batch,ssot-authoring
p-47-de-005,product,47,de,Wo finde ich passende Planungsinformationen?,Grundlagen zur Vorbereitung finden Sie unter /de/beratung/planung und ergänzende Hinweise unter /de/beratung/montage.,5,active,authoring-batch,ssot-authoring
p-47-en-001,product,47,en,What is this product best suited for?,P0017 - High pinstripe panel with shaker peg rail is suited to interiors that require clear wall articulation and a calm premium finish.,1,active,authoring-batch,ssot-authoring
p-47-en-002,product,47,en,What should be checked before selection?,"Check substrate quality, junction details, room proportions, and coordination with adjacent elements.",2,active,authoring-batch,ssot-authoring
p-47-en-003,product,47,en,What is the typical planning sequence?,"A typical sequence is survey, option alignment, detail clarification, and then sign-off for production or installation.",3,active,authoring-batch,ssot-authoring
p-47-en-004,product,47,en,What drives effort and budget?,"Effort and budget are mainly driven by geometry, preparatory work, detail level, and access conditions.",4,active,authoring-batch,ssot-authoring
p-47-en-005,product,47,en,Where can I find planning guidance?,Planning basics are available at /en/consulting/planning with additional notes at /en/consulting/installation.,5,active,authoring-batch,ssot-authoring
p-53-de-001,product,53,de,Wofür eignet sich dieses Produkt am besten?,"P0013 - Berlin - Mommsenstraße eignet sich für Innenräume mit klarer Gliederung, wenn eine hochwertige und ruhige Wandgestaltung gewünscht ist.",1,active,authoring-batch,ssot-authoring
p-53-de-002,product,53,de,Welche Punkte sollten vor der Auswahl geprüft werden?,"Wichtig sind Untergrund, Anschlussdetails, Raumproportionen und die Abstimmung mit angrenzenden Bauteilen.",2,active,authoring-batch,ssot-authoring
p-53-de-003,product,53,de,Wie läuft die Planung typischerweise ab?,"Der übliche Ablauf ist Aufmaß, Variantenabgleich, Detailklärung und danach die Freigabe für Fertigung bzw. Montage.",3,active,authoring-batch,ssot-authoring
p-53-de-004,product,53,de,Wodurch wird der Aufwand beeinflusst?,"Aufwand und Kosten hängen von Geometrie, Vorarbeiten, Detailgrad und Zugänglichkeit der Flächen ab.",4,active,authoring-batch,ssot-authoring
p-53-de-005,product,53,de,Wo finde ich passende Planungsinformationen?,Grundlagen zur Vorbereitung finden Sie unter /de/beratung/planung und ergänzende Hinweise unter /de/beratung/montage.,5,active,authoring-batch,ssot-authoring
p-53-en-001,product,53,en,What is this product best suited for?,P0013 - Berlin - Mommsenstr. is suited to interiors that require clear wall articulation and a calm premium finish.,1,active,authoring-batch,ssot-authoring
p-53-en-002,product,53,en,What should be checked before selection?,"Check substrate quality, junction details, room proportions, and coordination with adjacent elements.",2,active,authoring-batch,ssot-authoring
p-53-en-003,product,53,en,What is the typical planning sequence?,"A typical sequence is survey, option alignment, detail clarification, and then sign-off for production or installation.",3,active,authoring-batch,ssot-authoring
p-53-en-004,product,53,en,What drives effort and budget?,"Effort and budget are mainly driven by geometry, preparatory work, detail level, and access conditions.",4,active,authoring-batch,ssot-authoring
p-53-en-005,product,53,en,Where can I find planning guidance?,Planning basics are available at /en/consulting/planning with additional notes at /en/consulting/installation.,5,active,authoring-batch,ssot-authoring
p-55-de-001,product,55,de,Wofür eignet sich dieses Produkt am besten?,"P0014 - Lübeck - Schiffergesellschaft eignet sich für Innenräume mit klarer Gliederung, wenn eine hochwertige und ruhige Wandgestaltung gewünscht ist.",1,active,authoring-batch,ssot-authoring
p-55-de-002,product,55,de,Welche Punkte sollten vor der Auswahl geprüft werden?,"Wichtig sind Untergrund, Anschlussdetails, Raumproportionen und die Abstimmung mit angrenzenden Bauteilen.",2,active,authoring-batch,ssot-authoring
p-55-de-003,product,55,de,Wie läuft die Planung typischerweise ab?,"Der übliche Ablauf ist Aufmaß, Variantenabgleich, Detailklärung und danach die Freigabe für Fertigung bzw. Montage.",3,active,authoring-batch,ssot-authoring
p-55-de-004,product,55,de,Wodurch wird der Aufwand beeinflusst?,"Aufwand und Kosten hängen von Geometrie, Vorarbeiten, Detailgrad und Zugänglichkeit der Flächen ab.",4,active,authoring-batch,ssot-authoring
